ResponseId,nps,company,Year,month,TENURE,GENERATION,ROLE,LOCATION,COMPANY,GENDER,Change
R_cAzBkEKPZi0S3XX,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,"This is not a change but a call for the continuation of the ""family"" culture that I know at Ergon.  This is an important part of what makes Ergon a great organization."
R_3Mb4HxRmwShCaKd,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,Being able to try make something better with out a large fear of failure.
R_27BTerqgm62JYco,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,"More communication from Top Executives on Ergon's future. We have always trusted Mr. Lampton's decisions and now he's gone, we need to trust the Top Executives that they want the same future for Ergon as the employee's"
R_3dYpB2RUOj8TMai,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,more communication between corporate and the branches
R_9AERMBvQwEJmC2J,9,Ergon,2019,September,8-12 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,na
R_2hpTVRp5OCaVtwl,9,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,Accountability.
R_QbI2GxsnVosvnix,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,NA,NA,NA,"Wage, benefits, retirement and vacation compensation"
R_b8zZ6Uq6nHBFb3j,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Sales + Marketing,NA,NA,NA,I think it is very important to have educated and capable family leaders in management roles.
R_12qXNOkqHj6k92I,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,NA,NA,NA,Communication
R_29tVnIdcngORC43,8,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,"Constant feedback from immediate supervision.  People, especially today, thrive off of knowing where they stand and instant gratification.  Working for months without knowing if you are doing a good job or not is disheartening."
R_3EHeSx8ueGM7tO2,10,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,I feel Ergon organization is a great company. And not sure of any changes.
R_1rum6cyNMwTKzBk,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Information Technology,NA,NA,NA,more direction from my direct manager/plant manager
R_211BM9pZJVioMh6,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Communication
R_3ESF9eFKeozI4Jy,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,More diversity. There are between 300-500 people that work at the Mirror Lake/ Layfair offices and less than 30 are minorities based on race. That is a very low percentage of minorities in a state that is 40% minorities.
R_2fwgtQfqtLrvAtK,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,The greatest change that could happen at the refinery would be to begin hiring people before there is an immediate.  Most of our salary employees feel lost and like they are left on an island due to inadequate training time.  This inadequate training time comes from not hiring employees until we are so short staffed that we cannot afford to let them train rather than completing work assignments.
R_2tDsy6G09AbBHFz,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Sick Leave  and More Vacation.
R_1FIMB0xSxKHfVuJ,10,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,More training and classes
R_269hiMQCSvpiYeO,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,better team work
R_exsXLekOAjzsD3r,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,"I know that health insurance is a big deal amongst the employees.  If we could get better coverage at a decent price, I feel that would go a long way with the everyone."
R_1jBUAGsHzPE8vrG,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Need to do something about our insurance
R_2UauUrKVz1ofM6t,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Information Technology,NA,NA,NA,Better communication.
R_3qasp1XZ4nyZz5g,10,Ergon,2019,September,Less than a year,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,I am extremely satisfied with the accomplishments and the progress being made here. I wouldn't change anything at the moment.
R_2V42FFdpgWcSwm2,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Some times it’s make a person feel good to here good job! That goes a long way with people and makes them work harder.
R_3GuGFFdyCCSjb7Y,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Deal with disrespect and negative attitude of coworkers which is a cancer to the team and organization.
R_1l3kYjAsE9uDUbk,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,question needs to be more specific.
R_PGtxeYYaNB1fBaF,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,Better organization and Communication between Management
R_2s6fcjbdbrnHOki,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,Consistent and transparent organization strategy; today there is a disconnect on strategic focus and priority. Having all of the leaders on the same page in terms of strategic focus will make a huge impact on how the organization as a whole prioritizes and focuses their workload and efforts.
R_2rxfnDmbSVX0cIG,10,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Better vacation policy
R_1XJrHPFNv4rYLFD,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,wouldn't change a thing
R_24dApwZAiYKidEb,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,NA
R_2t5aw3xz8HU57XU,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,change in plant leadership
R_bJJqIPVfzBr9wk1,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Hire a HR department
R_3EPTOUrVMcvlYdz,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,More vacation time
R_3MyAnpAcXj6ZPNN,6,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,experience
R_3NQFaZTrZ8QOLBl,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,LETTING THE EMPLOYEES KNOW WHAT THE NEXT CHALENGE WILL BE
R_sMykYfEQ8On5DvX,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Better Insurance coverage.
R_3GqZ4u2dFUvfOFn,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,"Some formal training for  instruments and or processes we normally use is essential in troubleshooting & repair 
An overview or understanding of  basic or new processes has been requested many times but has fallen on deaf ears.Understanding  ""how it supposed to work""  GREATLY assists troubleshooting & repair. I do not believe in ""throwing $$ or parts at something to ""fix it""."
R_2uPTk9TpOTHMOeC,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Expanding the facility for more output of products.
R_UDrqvLDCUtVsrAJ,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Better communication.
R_1owh6ArZPArAPNj,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Stay fully staffed
R_2TC5MGJxI07APy4,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,More communication regarding goals for the next year and beyond.
R_QoVvFQbYTrgsECd,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Get the right people in the right positions. Also implement succession planning.
R_ukpS3ZNDazmSRpL,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,The continued overall growth of the company.
R_1KkfKiTKHvnvfxg,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,no call outs
R_1ILBJHZBLz4cBP5,10,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,overlooking from higher up when I keep up with my work and always help overs. Its just sometimes expected for me to help because I can do my work and help others.
R_3PNxU1cvqHgUbCw,9,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,"We need to look at bringing many functions that have been outsourced - either because of lack of skill/knowledge or because it was excepted that the expense was too great - back into the company so that we can have more control of the function(s) and reduce/eliminate the problems that arise, thus improving the company's expenses and image."
R_3DiIlMJ0GZghF9S,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,A few departments needs to be reorganized.  The structure has been the same for too many years and it doesn't provide much room for promotion.
R_1pPOs5V6KwdU3d9,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Target Zero
R_1PZtQAxkRp1IdbS,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,more events as a company with all employees
R_1n3za6OfggfjDJe,6,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,"A genuine ongoing awareness, acknowledgement and appreciation by management of individual employees for job well done."
R_2afb05VIym90q3U,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,EMPLOYEE APPRECIATION
R_12rSTaQp0pvYHRY,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Listening
R_1XLTv0VtkowyURX,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,"Communication. Knowing upcoming changes in operations would help Accounting/Tax better prepare for those changes.  Examples would be a new plant, new product, or moving locations."
R_21uCoKbCNxqIe2q,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,"Fully communicating a corporate strategy, vision and goals to employees in my opinion would create the most positive impact on the organization."
R_3LcKuGlKN30WVsw,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,In operations it would be great if we could get completely staffed so people wouldn’t have to cover as much . I know management is working towards this goal it just seems we can never quiet get over the hump so to speak.
R_23482ke7vNGqEvB,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,Making sure each department is more knowledgeable of what other department's do.
R_1Kv95vROto5ATQh,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,No change is necessary in my opinion.
R_1B4ihxbTr5dOc1j,9,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,More structured people development
R_1k1ysrHBJD7BjZT,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,"I think an IM (Instant Message System) would work for when you have a quick question with someone in your department, need to respond with a Thank You, or schedule a lunch/meeting with your team. It would eliminate a lot of small emails in the inbox."
R_3fNTNOnJBRVt8s3,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Extra vacation time for tenured employees.
R_3fOdpX8JxBSukho,0,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,"Return to what Mr. Lampton believed in.  A genuine care that was always customers 1st, then employees, then the $$$. It seems the order the past few years has been more concerned with the $$$ than anything."
R_3Gk8v1yPEA8BUtG,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,better communication with employees on an individual basis
R_1Le7c5GDaH9DYzf,10,Ergon,2019,September,12+ years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,I personally think a bonus program would be a good way to improve communication and awareness.
R_3P5KdGYxfcgyBzT,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,Routine and honest feedback geared toward continuous improvement.
R_2AXrmURKYg5tXmQ,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,"With a company of our size, I would like to see Instant messaging (with a history recall capability) put into place."
R_2dQ0sEL8sUkKjsp,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,We need to find a better way to communicate between the two refineries.  A significant amount of time is spent on program and procedure development that might be reduced with better relationships.
R_z2mqc9XU1BjOQq5,7,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,Embracing change with excitement instead of dread.
R_enenFhuLRp6lSlr,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,"This suggestion is more of an increase in volume than a change.  Although organization changes are inevitable, it is stressful for everyone and especially for those at the bottom of the organization charts.  Clear, direct and personal communication from the top of those charts and supported by the intermediate tiers is positive for morale.  More of that would go a long way to increase job satisfaction."
R_2dnW6cUcXkNyOnN,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,"More transparency and communication about the company's vision, goals, etc. to the front-line worker. Leaders in each business unit have great visibility into the vision, goals, etc., but the front-line worker does not. Without the front-line worker's buy-in, achieving these goals is not possible."
R_1ffvmtPcAiIq5xq,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,"Not a change - Remain privately held.  And if that is the expectation, make it known to the employees so there is not concern."
R_davph4qhFGt6ZKF,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,I think that more communication from upper mgmt. would always be a good thing. I am sure things are communicated but don't always reach the lower levels as well as they could. Otherwise this is a great company to work for.
R_3Jx6Pu0zIeyCjoo,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,"I would like to see our vacation/sick time merged into PTO (4 - 6 weeks total based on time served).  Thirteen weeks of sick time is nice to have if you ever get really ill, but short term disability could replace that (or express the importance to employees about saving for a rainy day cover that time off if an illness occurred).  Having more flexibility in time off would be great for us who have kids and have to use vacation days for random days they are off of school.  It leaves very little vacation days to actually vacation."
R_23kqBcZh5Dvyr0R,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,find ways to show employees they are appreciated that is more personal to them.  When employees feel appreciated they will work harder to please because they feel valued.
R_12LP3P4cbnF7AIW,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,Keep doing things to bring employees together.
R_3Jnqs038apqky7p,10,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,"sorry, at this time I cannot think of anything, because of the faith I have in the leadership of this company, I know I do not have to concern myself with those matters.....I am very grateful to Ergon for believing in me as they do. Thanks"
R_2eRoKh0glpKLzwx,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Just being more upfront with the employees
R_1CsAgqkx4fManNN,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,The combining of sick time and vacation time into PTO would provide working parents much more flexibility.
R_1LBj8w8BB7No0qd,10,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,"This is hard for me to fill out because I have only been with the Company for 3 weeks (starting my 4th week).  I haven't been here long enough to know the answers to many of the questions.  I will say that so far I love working for Ergon and I do believe I will be very happy here.  I strive to put my best effort into what I do here.

"
R_3gR9j7HCQ5jr8QG,9,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Communication
R_Ac9vtGD89LGt19n,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,better insurance
R_33w38sDYQLxALP8,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Sales + Marketing,NA,NA,NA,"Continue to over communicate, encourage and build up teammates"
R_1QswjxZAKbdU7h7,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,I do not have any changes i would suggest.
R_2xP2k2rThR0RRCP,10,Ergon,2019,September,Less than a year,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,Improve integration with Ergon International and work towards having the same work culture as Ergon in the US.
R_11iJ7knV0NzAzrs,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,Clearly define the vision for the company.  I see a lot of new programs going into effect but it is hard to see the overall vision.
R_21dfn4pekeFYFPn,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,more vacation and/or personal days
R_20YfUY4u0efS6Ax,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,"To make sure that our software, tools, processes or as up to date and cutting edge as required to help us to eliminate waste and make better decisions in less time. To make sound decisions today we spend countless hours doing manual work, many times over, the same processes. I feel that the systems we use today are probably not on par with industry standards and I believe that Ergon leadership would not only want our systems on par but ahead of the game."
R_xFbESbO7YeQar5f,10,Ergon,2019,September,8-12 years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,better communication.
R_2QsMdST88f7iP28,5,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,I don't know.
R_1jYR8nMGtd2w9Xy,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,continued communication
R_0DhR1UyrzfPi99f,2,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Like other companies we should be paid for the qualification we have. We are required to be trained for the position above the one we hold.
R_1IbcuNRDyj6zZf3,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,Implementation of more instrumentation that reads and is stored in Pi Process Book would greatly improve equipment trouble shooting as well as reducing maintenance costs.
R_3RdVfr7zXN8WHUH,10,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,Eliminating the current sick time/vacation time policy and replacing it with  a combined Personal Time Off policy
R_PGJkZHttocvBSEh,4,Ergon,2019,September,4-8 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Improvement of the healthcare plan would be a good start.
R_2qrsnS4TlIYtgxP,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,"Additional hires in order to appropriately handle the intricacies of our business as it continues to grow. This will help to promote an environment of ZERO anxiety, regrets, setbacks, shortcuts, injuries, etc. This will also have a positive impact on our community and our people."
R_3nIcP6UqJVPFqk8,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,Using our past experiences to learn and develop better procedures for future challenges. Too often we seem to reinvent the wheel in order to accomplish a task that we had last completed only recently.
R_vBnR1LP87CZvqSd,7,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,"A better recognition of how support personnel (non-management) are integral to the organization as a whole; not individualized recognition though
Not only at corporate, but at facilities as well"
R_29mXqvuyfLrb4Wd,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Admin + Corporate Support,NA,NA,NA,We need more support staff
R_10NHHMhtd9EomGF,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,another week vacation after20 years service
R_PLsJI9jaYdqgvmh,9,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Sales + Marketing,NA,NA,NA,Bonus restructuring
R_qXu6XMObgPjYAdX,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,communication needs improved
R_1dB4x6rTSQQi6la,9,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Improved communication
R_3JDINWLM1SOuIsf,9,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,"Annual bonuses for all. Would greatly help the morale.
Also, sick pay for hourly/clock employees."
R_3hzO27d1It78S7g,8,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Finance + Accounting,NA,NA,NA,To continue to progress to newer technologies.
R_bI7OKb9iJ8MvbRn,10,Ergon,2019,September,4-8 years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,Cross training
R_8002VpmB8d95qnv,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,Higher Salaries
R_3F4hhmDrRDQhk5x,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,Standardize key performance indicators for business segments and share across those business segments
R_3PpjwM6gyj17wOL,7,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Finance + Accounting,NA,NA,NA,Get rid of the unlimited sick leave and people would quit abusing it.  Give everyone 10 days of paid time off and eliminate sick leave days.
R_XBvPjiiJojNNI4h,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Sales + Marketing,NA,NA,NA,quicker communication
R_1209ZJv1S2N2YZj,10,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,"A more centralized HR department servicing R&M specifically for assistance in the hiring process of operations, engineering, and support personnel at the refinery. Focused on helping to both streamline and formalize the recruitment process."
R_ZaWkZB38B3asD8R,8,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,I don't think that any employee should be forced into a position unless there are no other employees willing to take the open position.
R_6PbjMA5gqMHUkaR,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,A operators need higher pay or less responsibility. Employees are being forced to take the A operator position. I think it strange when people have to be forced to take a promotion at work.
R_u94tSrdx0spknNT,8,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,Having more opportunities for advancement in my department.
R_25LUKlHqgI30hFQ,8,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,To be fully staffed
R_3JFuD4yQeGIhDU6,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,Safety dept needs out of office to see how and what causes accidents.
R_12hApbfuOJRDVBH,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,"none 
"
R_2E6rN86NmH6O1TC,4,Ergon,2019,September,8-12 years,Generation Y (born between 1981 - 2000),Sales + Marketing,NA,NA,NA,Stop allowing bullying behavior and bad behavior by a chosen few that seem to be rewarded despite not living our values in our work. I feel like the culture has changed significantly in a short amount of time. Some for the better but the toxicity level seems to be increasing.
R_27CmpmumzVa0NbC,8,Ergon,2019,September,1-4 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,We are losing operators to other refineries and facilities do to pay.
R_Q5OftQfVKGbMklb,9,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Operations,NA,NA,NA,More department meetings to keep employees updated on how everything is going.
R_1dMoU3AlAd1ZBt8,9,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,make senority mean somthing
R_2aEyuYXLbp75jmT,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Better communication of expectations
R_1hGUkbqFYQLWJrz,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Admin + Corporate Support,NA,NA,NA,I believe adding prometheus will have a positive impact on the organization as far as streamlining projects and day-to-day tasks. Prometheus will allow real time information on projects to be presented and eliminate the need for paper work orders or paper trails as everything will be done electronically.
R_2qDd5543dGN1kVB,7,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,"To decide whether to change a process that would impact several teams, each team shall be contacted before taking the decision, and each team shall be given the opportunity to delegate someone to join the decision / development group before changing that process."
R_3fIYlRkKeURZgUb,8,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,Increased employee pay at off-corporate sites.
R_1Ic7jkJEsKwKbbl,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Investing in capital projects to account for feed stock changes allowing plant to maintain full utilization.
R_xEeZZtJPp52HfSF,8,Ergon,2019,September,8-12 years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,rewarding workers for their hard work.
R_1Nf744XpDDaFPod,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Finance + Accounting,NA,NA,NA,I don't have an answer for this
